Animal,NT,ASD,P(a),P(h),Lambda,Value
whale,0.16448379763090076,0.07385532265549177,0.5,0.5,346.40000000000003,2.227108239688531
whale,0.16448379763090076,0.07376085879149753,0.5,0.5,346.5,2.2299604468523477
whale,0.16448379763090076,0.07366600062482379,0.5,0.5,346.6,2.232831920231508
whale,0.16448379763090076,0.07357175902839892,0.5,0.5,346.70000000000005,2.235692061778889
whale,0.16448379763090076,0.07347735325587826,0.5,0.5,346.8,2.2385645418949807
whale,0.16448379763090076,0.07338331293095143,0.5,0.5,346.90000000000003,2.2414332504403083
whale,0.16448379763090076,0.0732891050524951,0.5,0.5,347.0,2.2443144518286213
whale,0.16448379763090076,0.07319525729867637,0.5,0.5,347.1,2.247192013544233
whale,0.16448379763090076,0.07310100602480538,0.5,0.5,347.20000000000005,2.2500893842019964
whale,0.16448379763090076,0.07300736747105623,0.5,0.5,347.3,2.2529753274025444
whale,0.16448379763090076,0.07291356362193256,0.5,0.5,347.40000000000003,2.2558737971411356
whale,0.16448379763090076,0.07282011999435489,0.5,0.5,347.5,2.258768560717172
whale,0.16448379763090076,0.07272652386313566,0.5,0.5,347.6,2.2616755056304285
whale,0.16448379763090076,0.07263303459409802,0.5,0.5,347.70000000000005,2.264586610625605
whale,0.16448379763090076,0.07253963755135247,0.5,0.5,347.8,2.267502336422055
whale,0.16448379763090076,0.07244660198565747,0.5,0.5,347.90000000000003,2.270414251636871
whale,0.16448379763090076,0.07235340031721296,0.5,0.5,348.0,2.273338874327512
whale,0.16448379763090076,0.07226056741807564,0.5,0.5,348.1,2.2762594248568813
whale,0.16448379763090076,0.07216732258048288,0.5,0.5,348.20000000000005,2.279200498916447
whale,0.16448379763090076,0.07207467802398414,0.5,0.5,348.3,2.2821301758180015
whale,0.16448379763090076,0.07198214332266643,0.5,0.5,348.40000000000003,2.2850639066634533
whale,0.16448379763090076,0.07188944175100576,0.5,0.5,348.5,2.288010500910582
shark,0.12045161314669131,0.05416630462611691,0.5,0.5,6.7,2.2237369519318135
shark,0.12045161314669131,0.05405004802045286,0.5,0.5,6.800000000000001,2.228520002444988
shark,0.12045161314669131,0.05393346091518614,0.5,0.5,6.9,2.2333373587152003
shark,0.12045161314669131,0.05381654580659863,0.5,0.5,7.0,2.238189228635375
shark,0.12045161314669131,0.05369931049851013,0.5,0.5,7.1000000000000005,2.243075600570946
shark,0.12045161314669131,0.05358175251331379,0.5,0.5,7.2,2.2479968925384055
shark,0.12045161314669131,0.05346389146381286,0.5,0.5,7.300000000000001,2.2529525975156375
shark,0.12045161314669131,0.05334572765167709,0.5,0.5,7.4,2.257943015290458
shark,0.12045161314669131,0.053227263849288595,0.5,0.5,7.5,2.2629683443384665
shark,0.12045161314669131,0.05310850637708292,0.5,0.5,7.6000000000000005,2.268028633519769
shark,0.12045161314669131,0.0529894701417079,0.5,0.5,7.7,2.273123562560104
shark,0.12045161314669131,0.05287015601361511,0.5,0.5,7.800000000000001,2.278253408514108
shark,0.12045161314669131,0.052750575945643585,0.5,0.5,7.9,2.2834179719821397
shark,0.12045161314669131,0.052630717370360174,0.5,0.5,8.0,2.288618114381347
monkey,0.10557328699195069,0.04752323056618318,0.5,0.5,23.700000000000003,2.2215090542913356
monkey,0.10557328699195069,0.04747754991259278,0.5,0.5,23.8,2.2236464852612117
monkey,0.10557328699195069,0.047431809063938464,0.5,0.5,23.900000000000002,2.2257908579796535
monkey,0.10557328699195069,0.04738600020733271,0.5,0.5,24.0,2.2279425680586105
monkey,0.10557328699195069,0.04734013299334404,0.5,0.5,24.1,2.230101191451958
monkey,0.10557328699195069,0.04729419206455436,0.5,0.5,24.200000000000003,2.2322674811285093
monkey,0.10557328699195069,0.04724819308387626,0.5,0.5,24.3,2.2344407288662693
monkey,0.10557328699195069,0.047202134873091425,0.5,0.5,24.400000000000002,2.236621018854276
monkey,0.10557328699195069,0.04715600966748252,0.5,0.5,24.5,2.2388087485856785
monkey,0.10557328699195069,0.04710983173999526,0.5,0.5,24.6,2.24100327028596
monkey,0.10557328699195069,0.04706358493958161,0.5,0.5,24.700000000000003,2.243205381134513
monkey,0.10557328699195069,0.04701728101403749,0.5,0.5,24.8,2.245414552160741
monkey,0.10557328699195069,0.04697092300824772,0.5,0.5,24.900000000000002,2.247630666602248
monkey,0.10557328699195069,0.04692450213159477,0.5,0.5,25.0,2.2498541741770994
monkey,0.10557328699195069,0.04687802265141566,0.5,0.5,25.1,2.2520849007858588
monkey,0.10557328699195069,0.04683149003613907,0.5,0.5,25.200000000000003,2.254322613064021
monkey,0.10557328699195069,0.04678489444320347,0.5,0.5,25.3,2.256567814214392
monkey,0.10557328699195069,0.0467382482613611,0.5,0.5,25.400000000000002,2.258819936972884
monkey,0.10557328699195069,0.04669154436052594,0.5,0.5,25.5,2.2610793546851427
monkey,0.10557328699195069,0.046644785443331054,0.5,0.5,25.6,2.2633459665113502
monkey,0.10557328699195069,0.046597972379942086,0.5,0.5,25.700000000000003,2.265619759828741
monkey,0.10557328699195069,0.04655110165523694,0.5,0.5,25.8,2.2679009354888993
monkey,0.10557328699195069,0.046504187209719335,0.5,0.5,25.900000000000002,2.2701888437668676
monkey,0.10557328699195069,0.04645721116312632,0.5,0.5,26.0,2.2724843861429536
monkey,0.10557328699195069,0.04641019188872372,0.5,0.5,26.1,2.27478669437697
monkey,0.10557328699195069,0.04636310762045235,0.5,0.5,26.200000000000003,2.2770968645203307
monkey,0.10557328699195069,0.046315978947413114,0.5,0.5,26.3,2.279413916994348
monkey,0.10557328699195069,0.046268802779333706,0.5,0.5,26.400000000000002,2.2817380318970724
monkey,0.10557328699195069,0.04622157098713007,0.5,0.5,26.5,2.2840696397218196
monkey,0.10557328699195069,0.04617429502822395,0.5,0.5,26.6,2.286408204552321
monkey,0.10557328699195069,0.04612696742666155,0.5,0.5,26.700000000000003,2.2887541254430905
